,State,Year,Household_Size,Income_Level
981,MO,2018,6,33740
982,MO,2018,7,38060
983,MO,2018,8,42380
984,MO,2019,1,12490
985,MO,2019,2,16910
986,MO,2019,3,21330
987,MO,2019,4,25750
988,MO,2019,5,30170
989,MO,2019,6,34590
990,MO,2019,7,39010
991,MO,2019,8,43430
992,MO,2020,1,12760
993,MO,2020,2,17240
994,MO,2020,3,21720
995,MO,2020,4,26200
996,MO,2020,5,30680
997,MO,2020,6,35160
998,MO,2020,7,39640
999,MO,2020,8,44120
1000,MT,2016,1,11880
1001,MT,2016,2,16020
1002,MT,2016,3,20160
1003,MT,2016,4,24300
1004,MT,2016,5,28440
1005,MT,2016,6,32580
1006,MT,2016,7,36730
1007,MT,2016,8,40890
1008,MT,2017,1,12060
1009,MT,2017,2,16240
1010,MT,2017,3,20420
1011,MT,2017,4,24600
1012,MT,2017,5,28780
1013,MT,2017,6,32960
1014,MT,2017,7,37140
1015,MT,2017,8,41320
1016,MT,2018,1,12140
1017,MT,2018,2,16460
1018,MT,2018,3,20780
1019,MT,2018,4,25100
1020,MT,2018,5,29420
1021,MT,2018,6,33740
1022,MT,2018,7,38060
1023,MT,2018,8,42380
1024,MT,2019,1,12490
1025,MT,2019,2,16910
1026,MT,2019,3,21330
1027,MT,2019,4,25750
1028,MT,2019,5,30170
1029,MT,2019,6,34590
1030,MT,2019,7,39010
1031,MT,2019,8,43430
1032,MT,2020,1,12760
1033,MT,2020,2,17240
1034,MT,2020,3,21720
1035,MT,2020,4,26200
1036,MT,2020,5,30680
1037,MT,2020,6,35160
1038,MT,2020,7,39640
1039,MT,2020,8,44120
1040,NE,2016,1,11880
1041,NE,2016,2,16020
1042,NE,2016,3,20160
1043,NE,2016,4,24300
1044,NE,2016,5,28440
1045,NE,2016,6,32580
1046,NE,2016,7,36730
1047,NE,2016,8,40890
1048,NE,2017,1,12060
1049,NE,2017,2,16240
1050,NE,2017,3,20420
1051,NE,2017,4,24600
1052,NE,2017,5,28780
1053,NE,2017,6,32960
1054,NE,2017,7,37140
1055,NE,2017,8,41320
1056,NE,2018,1,12140
1057,NE,2018,2,16460
1058,NE,2018,3,20780
